Day,FY13Missed,FY14Missed,FY15Missed,FY13Cost,FY14Cost,FY15Cost
7/1/2015,12,12,15,3370.54,2453.18,5160.16
7/2/2015,12,14,13,5106.86,908.68,1913.52
7/3/2015,14,13,12,3811.16,5051.38,3248.12
7/4/2015,18,15,16,6871.74,4077.84,4575.54
7/5/2015,16,13,14,3958.72,2037.12,4526.74
7/6/2015,17,14,15,2507.28,3807.26,6742.58
7/7/2015,14,12,12,5250.7,8632.8,752.22
7/8/2015,12,14,10,3749.22,3642.56,295.45
7/9/2015,9,13,10,2771.92,3102.04,
7/10/2015,13,15,12,2756.22,6189.48,4913.24
7/11/2015,16,13,14,6354.62,5914.26,3274.44
7/12/2015,12,15,14,5647.6,4433.3,4791.98
7/13/2015,10,13,12,3707.08,4030.42,4237.84
7/14/2015,14,16,11,3185.18,4796.76,3282.06
7/15/2015,16,11,14,7931.46,2863.62,6247.82
7/16/2015,14,13,16,8086.22,1571.52,6978.5
7/17/2015,10,12,10,2973.26,2594.54,847.98
7/18/2015,11,12,15,1396.86,818.1,4973.44
7/19/2015,13,13,15,3449.54,2470.12,5692.3
7/20/2015,16,14,16,6216.26,3962.22,7393.62
7/21/2015,12,16,11,8056.82,4605.96,1365.3
7/22/2015,14,12,15,6093,831.88,6003.78
7/23/2015,14,15,14,4662.22,5651.72,4521.08
7/24/2015,10,12,6,3169.9,1412.88,
7/25/2015,13,12,13,2652.58,853.3,3380.06
7/26/2015,12,14,16,2131.68,2942.82,7236.26
7/27/2015,13,17,14,6260,5497.52,4169.32
7/28/2015,14,14,9,6235.14,5554.48,2999.9
7/29/2015,14,12,14,3075.44,2799.2,2060.44
7/30/2015,10,16,10,1438.6,3074.6,3038.28
7/31/2015,10,12,15,5358,3823.96,3573.14
8/1/2015,13,12,15,4083.12,3943.52,4043.22
8/2/2015,14,15,16,5807.12,7078.42,6553.32
8/3/2015,17,16,12,4087.18,3263.22,5234.32
8/4/2015,14,16,15,7206.48,3477.4,5258.74
8/5/2015,15,14,11,5293.46,7170.02,2527.14
8/6/2015,14,15,13,4229.18,7449.68,3538.6
8/7/2015,14,14,12,5439.8,809.5,1933.98
8/8/2015,12,9,13,4170.14,2342.36,6165.38
8/9/2015,14,11,11,4546.7,3480.36,2229.68
8/10/2015,15,12,17,5375.36,2975.34,5553.22
8/11/2015,12,14,12,3191.8,1825.56,4069.98
8/12/2015,16,8,17,7901.18,3850.64,6068.92
8/13/2015,12,10,10,4053.24,2558.48,2122.34
8/14/2015,17,12,18,4188.14,4110.84,5173.66
8/15/2015,16,13,20,3299.38,591.1,5870.98
8/16/2015,15,13,12,8399.1,4743.62,4693.46
8/17/2015,13,12,12,4548.36,3483.94,4254.82
8/18/2015,16,12,15,6761.82,2715.04,4727.22
8/19/2015,12,17,16,2983,1561.1,4650.6
8/20/2015,14,16,12,5424.76,5914.74,4817.74
8/21/2015,10,12,11,1253.8,4264.68,4774.9
8/22/2015,12,13,15,2917.94,3184.7,3305.08
8/23/2015,13,15,12,2361.86,,2581.46
8/24/2015,14,13,9,3914.1,3119.5,4530.84
8/25/2015,14,11,15,6465.74,2959.6,4768.28
8/26/2015,13,10,14,4867.02,2911.08,535.3
8/27/2015,12,16,10,1563.36,4099.72,2784.48
8/28/2015,11,13,8,4590.98,2860.62,4309.16
8/29/2015,14,13,14,5166.98,4295.26,6190.36
8/30/2015,13,14,14,567.5,4303.68,3790.38
8/31/2015,14,17,16,3544.8,2874.98,8365.34
9/1/2015,14,13,14,5391.06,7380.38,4634.74
9/2/2015,16,8,11,8666.64,1939.04,4347.18
9/3/2015,15,5,14,6888.08,,2297.72
9/4/2015,8,5,12,,,2786.48
9/5/2015,12,11,12,4785.26,2000.16,4637.12
9/6/2015,12,9,13,3950.18,3404.96,4416.96
9/7/2015,13,8,10,4949.6,,1976.3
9/8/2015,10,9,8,831.15,,
9/9/2015,11,9,8,3937.38,,2444.4
9/10/2015,6,6,3,,487.3,299.58
9/11/2015,5,7,3,661.1,,
9/12/2015,2,8,7,,1166.76,2996.06
9/13/2015,3,8,9,,,515
9/14/2015,8,8,4,,1151.18,
9/15/2015,5,8,2,1185.94,774.4,
9/16/2015,6,6,4,,,
9/17/2015,0,4,3,,,
9/18/2015,5,8,3,,3236.68,
9/19/2015,4,5,3,,,506.4
9/20/2015,5,8,4,,487.3,
